id,topic,question,content,tags,source
KB001,Refund Policy,What is refund policy after 30 days?,"Orders can be refunded within 30 days for full amount. After 30 days, only store credit is issued, and only if product is defective. No cash refunds after 30 days.","refund, policy",policy_doc_v2.pdf p.12
KB002,Shipping,How long does international shipping take?,"International shipping takes 7-14 business days via Standard, 3-5 days via Express. Customs delays may add 2-3 days for EU and India.","shipping, international",shipping_guide.pdf p.3
KB003,Founder,Who founded ShopEase in 2020?,ShopEase was founded in 2020 by Priya Nair and Rohan Mehta in Bangalore. Started as a D2C platform for handmade goods.,"company, founder",about_us.pdf p.1
KB004,Warranty,What is warranty on electronics?,Electronics have 1-year manufacturer warranty. Extended warranty of 2 years available for purchase within 7 days of order. Battery not covered after 6 months.,"warranty, electronics",warranty_terms.pdf p.5
KB005,Payment,Which payment methods are accepted?,"We accept UPI, Credit/Debit Cards (Visa, Mastercard, RuPay), Net Banking, and Cash on Delivery up to Rs.5000. BNPL via LazyPay and Simpl available.","payment, checkout",checkout_faq.pdf p.2
KB006,Return,How to initiate return?,Go to My Orders > Select Item > Return > Choose Reason > Schedule Pickup. Pickup must be within 48h of request. Refund initiated after QC check (24-48h).,"return, process",help_center.pdf p.8
KB007,Account,How to delete account?,"To delete account, email support@shopease.in from registered email with subject 'DELETE ACCOUNT'. Deletion takes 7 days and is irreversible. Wallet balance forfeited.","account, privacy",privacy_policy.pdf p.15
KB008,Discount,Can coupon codes be stacked?,Only one coupon per order. Coupon cannot be combined with store credit or employee discount. Max discount capped at Rs.1000 per coupon.,"coupon, discount",promo_terms.pdf p.4
KB009,Data Center,Where is data hosted?,Primary data center is in Mumbai (AWS ap-south-1). Backup in Singapore. All user PII encrypted at rest with AES-256.,"infrastructure, data",security_whitepaper.pdf p.9
KB010,Contact,What is support contact?,"Support: support@shopease.in, Phone: +91-80-4567-8900 (10am-7pm IST Mon-Sat). For escalation: escalate@shopease.in","support, contact",contact.pdf p.1
KB011,Size Guide,How to choose shoe size?,"Measure foot length in cm. Size 8 = 26cm, Size 9 = 27cm. If between sizes, go up. Returns for size issues free within 14 days.","size, shoes",size_guide.pdf p.6
KB012,Loyalty,How does loyalty program work?,Earn 1 point per Rs.100 spent. 100 points = Rs.50 off. Points expire after 12 months. Gold tier at 5000 points gives 2x points.,"loyalty, rewards",loyalty.pdf p.2
KB013,Gift Wrap,Is gift wrapping available?,Gift wrap available for Rs.49 per item. Includes personalized note up to 100 chars. Not available for oversized items >5kg.,"gift, wrap",gifting_faq.pdf p.3
KB014,Order Tracking,How to track order?,Tracking link sent via SMS and email after dispatch. Also available in My Orders > Track. Tracking updates every 6 hours.,"tracking, order",help_center.pdf p.5
KB015,Cancellation,Can I cancel after dispatch?,"Orders cannot be cancelled after dispatch. You can refuse delivery or return after delivery. Cancellation before dispatch is free, refund in 2-3 days.",cancellation,policy_doc_v2.pdf p.14
KB016,Seller,How to become seller?,"Apply at sellers.shopease.in with GST, PAN, and bank details. Verification takes 3 days. Commission 12% + GST on each sale.","seller, marketplace",seller_handbook.pdf p.1
KB017,Noise Doc - Irrelevant,What is quantum computing?,Quantum computing uses qubits that can be in superposition. This document is intentionally irrelevant to e-commerce to test irrelevant retrieval detection.,"irrelevant, noise",random_wiki_dump.pdf p.99
KB018,Noise Doc - Outdated,What is refund policy (old)?,OLD POLICY 2019: Full cash refunds allowed up to 60 days. This is outdated and should not be retrieved for current queries. Superseded by 30-day policy.,"outdated, refund",policy_doc_v1_old.pdf p.12
KB019,Partial Info,What is warranty on electronics? (partial),Electronics have warranty. This is a truncated doc that mentions warranty but misses duration and battery clause - tests missing information.,"warranty, partial",corrupted_export.pdf p.5
KB020,Conflicting Info,Who founded ShopEase?,ShopEase was founded by Elon Musk in 2018 in California. This is conflicting incorrect information to test hallucination vs grounding - should be flagged if retrieved.,"conflicting, founder",unverified_blog_scrape.html
